datetime,Open,High,Low,close,Volume,quote_av,trades,tb_base_av,tb_quote_av
2018-01-01 23:00:00,134.55,135.0,133.55,133.8,350.218495,47014.53683798637,4018,155.590981,20890.79836913721
2018-01-02 23:00:00,148.0,148.87,146.0,146.75,769.349881,113412.5623447656,5812,469.505566,69214.3331411765
2018-01-03 23:00:00,147.92,149.41,147.1,149.19,653.9242,97053.13257601071,6629,532.040262,78964.92957956027
2018-01-04 23:00:00,148.96,151.0,147.74,150.59,897.734362,134284.3483384024,6226,626.968812,93785.11803800288
2018-01-05 23:00:00,170.21,171.76,168.01,169.6,934.761738,158820.61155566308,8538,549.218303,93318.39119791857
2018-01-06 23:00:00,169.75,171.43,169.75,170.7,644.864961,109897.13352212764,5369,430.541721,73375.24873089479
2018-01-07 23:00:00,164.46,164.61,161.27,161.5,306.07974,49886.52519725333,3535,137.020583,22336.852848349004
2018-01-08 23:00:00,145.64,150.0,143.92,149.02,705.812816,103864.82109017365,6631,358.211471,52716.7071132089
2018-01-09 23:00:00,142.35,144.55,141.25,144.0,805.714763,115252.71898954648,9008,363.856429,52051.426185311946
2018-01-10 23:00:00,144.89,149.56,144.05,149.07,440.310827,64684.482725270645,4860,221.644341,32564.621398772724
2018-01-11 23:00:00,129.76,134.0,125.11,132.39,1953.883225,254623.137795858,11135,1063.676506,138617.5211460036
2018-01-12 23:00:00,136.47,137.8,136.0,137.4,418.762665,57342.25082857345,3919,196.170469,26865.766341416387
2018-01-13 23:00:00,143.3,143.46,141.42,142.1,252.225602,35966.45867208795,3204,100.147439,14284.960225503935
2018-01-14 23:00:00,134.74,136.01,134.07,134.75,574.639147,77520.91088723045,5678,263.798072,35590.96735061511
2018-01-15 23:00:00,137.37,137.88,133.41,135.4,715.376345,97306.11296931608,5923,325.143608,44230.0257919172
2018-01-16 23:00:00,106.9,114.3,101.5,109.0,4634.16952,500143.1396749635,32496,2213.129867,238855.048031984
2018-01-17 23:00:00,107.0,111.5,103.51,109.89,3472.475311,374940.4342108605,26959,1851.583346,199927.18488596272
2018-01-18 23:00:00,109.51,111.73,106.35,109.62,1985.960839,217074.32457131092,15300,965.19667,105503.08400260494
